Time (sec),Pedal Position(%) wped_w,Engine Speed(RPM) nmot_w,Vehicle Speed(KMH) vfzg_w,Actual Boost Pressure(mBar) pvdkds_w,Desired Boost Pressure(mBar) plsol_w,Lambda Actual Value(Lambda) lamsoni_w,Lambda Target Value(Lambda) lamsons_w,Lambda BTS Value(Lambda) lambts_w,Lambda LAMFAW Value(Lambda) lamfa_w,Actual Load(%) rl_w,Requested Load(%) rlsol_w,Max Load(%) rlmax_w,Ignition Angle Output(Deg BTDC) zwout,Actual Ignition Angle(Deg BTDC) zwist,Mass Air Flow(kg/h) mshfm_w,Lambda Control (Fuel Trim)(%) fr_w,Throttle Angle(%) wdkba,Intake Air Temperature(Deg C) tans,Average Knock Retard(Deg BTDC) wkrma,Cylinder 1 Knock Retard(Deg BTDC) dwkrz_0,Cylinder 2 Knock Retard(Deg BTDC) dwkrz_1,Cylinder 3 Knock Retard(Deg BTDC) dwkrz_2,Cylinder 4 Knock Retard(Deg BTDC) dwkrz_3,
0.200,0.0000,1999.3,57.5,1014.1,1001.8,5.0000,1.0469,1.0000,1.0000,8.84,9.00,164.55,-1.50,-2.25,17.20,1.0000,2.0,15.75,0.00,0.00,0.00,0.00,0.00,
0.300,0.0000,1994.8,57.4,1014.1,1001.8,5.0000,1.0469,1.0000,1.0000,8.84,9.00,164.16,-1.50,-2.25,17.60,1.0000,2.0,15.75,0.00,0.00,0.00,0.00,0.00,
0.400,0.0000,1985.0,57.3,1014.1,1001.8,5.0000,1.0469,1.0000,1.0000,8.86,9.00,163.97,-1.50,-2.25,17.70,1.0000,2.0,15.75,0.00,0.00,0.00,0.00,0.00,
0.400,0.0000,1982.0,57.2,1014.1,1001.8,5.0000,1.0469,1.0000,1.0000,9.02,9.00,163.95,-1.50,-2.25,17.30,1.0000,2.0,15.75,0.00,0.00,0.00,0.00,0.00,
0.500,0.0000,1978.0,57.1,1014.1,1001.8,5.0000,1.0469,1.0000,1.0000,8.88,9.00,163.76,-1.50,-2.25,17.30,1.0000,2.0,15.75,0.00,0.00,0.00,0.00,0.00,
0.600,0.0000,1973.8,57.0,1014.1,1001.8,5.0000,1.0469,1.0000,1.0000,9.02,9.00,163.97,-1.50,-2.25,17.50,1.0000,2.0,15.75,0.00,0.00,0.00,0.00,0.00,
0.600,0.0000,1976.0,56.9,1014.1,1001.8,5.0000,1.0469,1.0000,1.0000,9.02,9.00,163.71,-1.50,-2.25,17.10,1.0000,2.0,15.75,0.00,0.00,0.00,0.00,0.00,
0.700,0.0000,1968.5,56.8,1014.1,1001.8,5.0000,1.0469,1.0000,1.0000,8.86,9.00,163.73,-1.50,-2.25,17.20,1.0000,2.0,15.75,0.00,0.00,0.00,0.00,0.00,
0.800,0.0000,1962.8,56.7,1014.1,1001.8,5.0000,1.0469,1.0000,1.0000,8.86,9.00,163.36,-1.50,-2.25,17.20,1.0000,2.0,15.75,0.00,0.00,0.00,0.00,0.00,
0.900,0.0000,1960.3,56.6,1014.1,1001.8,5.0000,1.0469,1.0000,1.0000,8.86,9.00,163.22,-1.50,-2.25,16.90,1.0000,2.0,15.75,0.00,0.00,0.00,0.00,0.00,
